,PAROLES,Domaine,Langue
9855,"oui oui, c'est comme ça que tu vois comment fonctionnent les tournesols qui se tournent vers le soleil, en fait, tu maximises ton apport énergétique sur les panneaux photovoltaïques, après il faut dire que tu as du photovoltaïque",1,bs
9856,oui c'est vrai tu vois comment fonctionnent les tournesols ils tournent en fonction du soleil en fait là tu es en train de maximiser ton apport énergétique sur des panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque,1,bg
9857,"oui, oui, donc tu vois comment fonctionnent les tournesols qui tournent en fonction du soleil, en fait là tu maximises ton apport énergétique en panneaux photovoltaïques alors il faut aussi dire que tu as du photovoltaïque",1,ca
9858,oui oui c'est pour voir comment les tournesols tournent en fonction du soleil en fait tu as tu augmentes ta consommation d'énergie avec des panneaux photovoltaïques alors il faut aussi dire que tu as du photovoltaïque,1,ceb
9859,"oui, alors tu vois comment fonctionne le tournesol qui tourne en fonction du soleil, là tu es pour augmenter ton énergie en panneaux photovoltaïques après il faut dire que tu as du photovoltaïque.",1,ny
9860,"Ouais, ouais, alors tu vois comment fonctionne le tournesol, il tourne en fonction du soleil. En fait, vous êtes là, vous maximisez l'apport énergétique sur les panneaux photovoltaïques, et puis il faut dire que vous avez du photovoltaïque",1,zh-cn
9861,"Ouais, ouais, alors tu vois comment fonctionne le tournesol, il tourne en fonction du soleil.",1,zh-tw
9862,"oui oui, c'est comme ça que vous voyez comment fonctionnent les tournesols qui tournent en fonction du soleil, en fait, vous maximisez votre apport énergétique sur les panneaux photovoltaïques alors il faut dire aussi que vous avez du photovoltaïque",1,co
9863,oui oui c'est comme ça que tu vois comment fonctionnent les tournesols face au soleil en fait là tu maximises ton apport énergétique sur les panneaux photovoltaïques après il faut dire aussi que tu as un photovoltaïque,1,hr
9864,"oui, oui c'est vrai, tu vois comment fonctionnent les tournesols, qui tournent en fonction du soleil, en fait tu es là, tu maximises l'apport énergétique sur les panneaux photovoltaïques, alors il faut aussi dire que tu as du photovoltaïque",1,cs
9865,oui oui c'est donc tu vois c'est comme ça que fonctionnent les tournesols lorsqu'ils se tournent vers le soleil en fait là tu es tu maximise ton apport énergétique sur les panneaux solaires après il faut dire aussi que tu as du solaire,1,da
9866,"oui oui c'est vrai que tu le vois, c'est comme ça que fonctionnent les tournesols qui tournent en fonction du soleil, en fait voilà, tu maximises ton apport énergétique sur des panneaux photovoltaïques, alors il faut dire aussi que tu as des panneaux photovoltaïques",1,nl
9867,ouais ouais c'est comme ça tu vois c'est comme ça que fonctionnent les tournesols qui tournent en fonction du soleil en fait là tu maximises ton apport énergétique sur des panneaux photovoltaïques après il faut dire aussi que tu as du photovoltaïque,1,en
9868,"oui oui, c'est comme ça que tu vois comment fonctionnent les tournesols, qui tournent en fonction du soleil, en fait c'est comme ça que tu maximises ta consommation d'énergie sur les panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque.",1,eo
9869,"Oui, oui, c'est ainsi que l'on voit le fonctionnement des tournesols, qui tournent en fonction du soleil.",1,et
9870,ouais ouais c'est comme ça tu vois c'est comme ça que fonctionnent les tournesols qui tournent en fonction du soleil en fait là tu es tu maximise ton apport énergétique sur les panneaux photovoltaïques après il faut dire aussi que tu as du photovoltaïque,1,tl
9871,ouais ouais c'est vrai tu vois comment fonctionnent les tournesols qui tournent avec le soleil en fait tu maximises ta consommation d'énergie avec des panneaux solaires après aussi tu dois dire que tu as de l'énergie solaire,1,fi
9872,oui oui c'est donc tu vois c'est comment fonctionnent les tournesols qui tournent en fonction du soleil en fait là tu as ton maximum d'absorption d'énergie sur les panneaux photovoltaïques après il faut dire aussi que tu as du photovoltaïque,1,fy
9873,"oui, oui, c'est comme ça que tu vois comment fonctionnent les tournesols qui tournent en fonction du soleil en fait là tu maximises ton apport énergétique en panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque",1,gl
9874,"Oui, oui, c'est vrai, tu vois comment fonctionne le tournesol, qui tourne en fonction du soleil, en fait, tu fais monter l'énergie sur les panneaux photovoltaïques, alors il faut aussi dire que tu as un photovoltaïque",1,ka
9875,"Oui, oui, c'est comme ça, comme vous pouvez le constater, c'est ainsi que fonctionnent les tournesols, qui tournent en fonction du soleil. En effet, vous maximisez votre apport énergétique grâce aux panneaux photovoltaïques. Après il faut dire aussi que vous avez du photovoltaïque",1,de
9876,oui oui c'est comme ça que vous voyez comment fonctionnent les tournesols ils tournent en fonction du soleil en fait là où vous êtes vous maximisez votre apport énergétique dans les panneaux solaires alors il faut aussi dire que vous avez du solaire,1,el
9877,Oui oui c'est comme ça tu vois comment fonctionne le tournesol qui tourne en fonction du soleil en fait là tu maximises ta consommation d'énergie sur les panneaux photovoltaïques alors il faut dire aussi que tu as un photovoltaïque,1,gu
9878,ouais ouais c'est comme ça que tu vois comment fonctionnent les tournesols qui tournent en fonction du soleil en fait là tu es tu maximise ta consommation d'énergie sur des panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque,1,ht
9879,"Oui oui c'est vrai, tu vois comment fonctionne le tournesol qui tourne parallèlement au soleil en fait là tu augmentes ton énergie sur les panneaux photovoltaïques après ça et tu dois dire que tu as du photovoltaïque.",1,ha
9880,"Bien sûr, vous savez comment fonctionnent les tournesols pour tourner comme le soleil, bien sûr, vous allez augmenter votre énergie en panneaux photovoltaïques après il faut dire que vous avez du photovoltaïque.",1,haw
9881,oui oui c'est donc tu vois comme ça des tournesols qui tournent en fonction du soleil en fait là tu maximises ta consommation d'énergie sur des panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque,1,iw
9882,oui oui c'est donc tu vois comme ça des tournesols qui tournent en fonction du soleil en fait là tu maximises ta consommation d'énergie sur des panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque,1,he
9883,oui oui c'est pour voir comment fonctionne le tournesol qui change en fonction du soleil en fait tu es là tu maximises ta consommation d'énergie sur les panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque,1,hi
9884,oui donc tu vois c'est comment fonctionne le tournesol qui tourne comme le soleil en fait voilà tu fais assez ta puissance sur les panneaux photovoltaïques après il faut dire aussi que tu as du photovoltaïque,1,hmn
9885,oui oui c'est comme ça que tu vois comment fonctionne le tournesol qui tourne en fonction du soleil il est effectivement là puis tu maximise ton apport énergétique sur les panneaux photovoltaïques après il faut dire aussi qu'il a des panneaux solaires,1,hu
9886,ouais ouais c'est vrai tu vois c'est comme ça que fonctionnent les tournesols qui tournent dans le sens du soleil en fait tu y es tu maximise ton apport énergétique sur les panneaux lumineux après il faut dire aussi que tu as un moteur léger,1,is
9887,"Oui, oui, c'est comme ça que tu vois, c'est comme ça que fonctionnent les tournesols, ce qui fait que le soleil est bien là, tu augmentes ta consommation d'énergie avec un panneau photovoltaïque, et puis, il faut dire que tu as du photovoltaïque.",1,ig
9888,oui oui c'est ça donc tu vois comment fonctionne le tournesol qui tourne en fonction du soleil en fait là tu maximises ton apport énergétique sur des panneaux photovoltaïques après il faut dire aussi que tu as du photovoltaïque,1,id
9889,ouais ouais c'est comme ça tu le vois comment fonctionne le tournesol qui tourne en fonction du soleil en fait tu maximises ton apport énergétique sur des panneaux photovoltaïques après il faut dire aussi que tu es photovoltaïque,1,ga
9890,oui oui c'est comme ça tu vois c'est comme ça que fonctionnent les tournesols qui tournent en fonction du soleil en fait ici tu maximises l'apport d'énergie sur les panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque,1,it
9891,"Oui, c'est vrai, vous pouvez voir comment le tournesol tourne en fonction du soleil, en fait là vous maximisez l'apport d'énergie avec les panneaux solaires, alors vous avez aussi l'énergie solaire Ce n'est pas obligatoire",1,ja
9892,oui oui c'est pour que tu puisses voir comment le tournesol peut tourner en fonction du soleil en fait là tu optimises l'apport d'énergie dans le panneau photovoltaïque après il faut dire aussi que tu as du photovoltaïque.,1,jw
9893,"Oui, oui, vous voyez comment fonctionnent les tournesols, ils tournent en fonction du soleil, où vous augmentez votre consommation d'énergie en panneaux photovoltaïques, alors il faut dire que vous avez du photovoltaïque.",1,kn
9894,"oui, oui, c'est comme ça que tu vois comment fonctionne le tournesol, il tourne vers le soleil, en fait tu maximises la consommation d'énergie dans les panneaux photovoltaïques.",1,kk
9895,"Oui, oui, alors vous voyez, c'est ainsi que les tournesols travaillent vers le soleil.",1,km
9896,"Oui c'est vrai. Vous pouvez voir comment fonctionne le tournesol, qui tourne en fonction du soleil. En fait, vous maximisez votre apport énergétique provenant des panneaux solaires. Je dois dire que plus tard, il y aura l'énergie solaire.",1,ko
9897,oui oui c'est comme ça que tu vois comment fonctionnent les cellules solaires elles tournent en fonction du soleil en fait tu y es tu maximise ton énergie sur des panneaux photovoltaïques alors il faut dire que tu as du photovoltaïque.,1,ku
9898,"oui, oui, tu vois comment fonctionnent les tournesols, ils tournent en fonction du soleil",1,ky
9899,"En fait, c'est pour que vous voyez c'est la façon dont fonctionne la fleur solaire qui tourne en fonction du soleil, en fait, là, vous utilisez votre maximum d'énergie dans le panneau photovoltaïque plus tard il faut quand même dire que vous avez du photovoltaïque.",1,lo
9900,ouais ouais c'est 'c'est comme ça que tu vois' comment fonctionnent les tournesols qui sont tournés en fonction du soleil donc voilà tu maximise l'apport énergétique dans les panneaux photovoltaïques plus tard il faut dire aussi que tu as un photovoltaïque,1,la
9901,oui oui c'est parce que tu vois comment fonctionnent les tournesols qui tournent en fonction du soleil en fait tu peux maximiser ta consommation d'énergie dans les panneaux photovoltaïques alors tu dois dire que tu as du photovoltaïque,1,lv
9902,"Oui, oui, c'est vrai, vous pouvez voir comment fonctionnent les tournesols, ils tournent en fonction du soleil.",1,lt
9903,oui oui c'est comme ça tu vois c'est comment fonctionnent les tournesols ils tournent en fonction du soleil en fait là tu es au maximum ton apport énergétique sur des panneaux photovoltaïques après il faut dire aussi que tu as du photovoltaïque,1,lb
9904,oui c'est vrai tu vois comment fonctionnent les tournesols qui tournent vers le soleil en fait là tu maximises l'apport énergétique des panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque,1,mk
9905,oui oui et tu vois comment fonctionne le tournesol qui tourne en fonction du soleil en fait là tu augmentes ta puissance avec des panneaux photovoltaïques après il faut dire aussi que tu as du photovoltaïque,1,mg
9906,ouais ouais c'est comme ça tu vois comment fonctionne le tournesol qui tourne en fonction du soleil en fait là tu maximise ton apport énergétique sur le panneau photovoltaïque après il faut dire aussi que tu as du photovoltaïque,1,ms
9907,"Ouais ouais c'est comme ça que tu vois comment fonctionnent les tournesols à énergie solaire, en fait là tu maximises ta consommation d'énergie sur les panneaux photovoltaïques et puis tu as le photovoltaïque.",1,ml
9908,oui oui c'est comme ça que tu vois comment fonctionne le tournesol qui tourne en fonction du soleil en fait là tu maximises ta consommation d'énergie sur des panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque,1,mt
9909,"Oui, vous pouvez donc voir comment fonctionnent les cellules solaires et allumer le soleil pendant que vous y êtes et vous augmenterez votre énergie sur les panneaux photovoltaïques et vous direz ensuite que vous êtes photovoltaïque.",1,mi
9910,"Oui oui, c'est comme ça que fonctionnent les tournesols voir il tourne comme le soleil, en fait là tu maximises ton énergie sur un panneau photovoltaïque alors il faut dire aussi que tu as un photovoltaïque",1,mr
9911,oui oui c'est pour ça que tu es là si tu regardes comment fonctionne un tournesol en tournant en fonction des rayons du soleil et en maximisant ensuite ta consommation d'énergie sur les panneaux photovoltaïques.,1,mn
9912,"Oui, La façon dont fonctionnent les tournesols est la même que celle des tournesols. En fait, c'est là que l'on maximise la consommation d'énergie des panneaux photovoltaïques et puis on a le photovoltaïque.",1,my
9913,"Oui c'est ça, donc tu vois comment fonctionnent les tournesols qui tournent en fonction du soleil en fait là tu maximises ta consommation d'énergie dans les panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque.",1,ne
9914,oui oui c'est comme ça que tu vois c'est comme ça que fonctionnent les tournesols qui tournent après le soleil en fait là tu es tu maximise l'apport d'énergie sur les panneaux solaires après il faut dire aussi que tu as du solaire,1,no
9915,"Oui oui c'est comme ça tu vois comment fonctionne le tournesol qui tourne en fonction du soleil en fait tu maximises ton apport énergétique dans le panneau photovoltaïque, même après il faudrait dire que tu as du photovoltaïque.",1,or
9916,Oui oui c'est donc vous voyez comment fonctionnent les panneaux solaires qui change avec le soleil en fait vous êtes là pour maximiser votre consommation d'énergie en panneaux photovoltaïques alors il faut dire aussi que vous avez du photovoltaïque,1,ps
9917,"Ouais ouais, donc vous voyez comment fonctionnent les tournesols, ils tournent en ligne avec le soleil. En fait, là où vous êtes, vous maximisez l'énergie que vous obtenez dans les panneaux photovoltaïques. Cela devrait également dire que vous avez du photovoltaïque.",1,fa
9918,"oui, oui, vous voyez comment fonctionnent les tournesols, ils tournent en fonction du soleil, en fait c'est là que vous maximisez la consommation énergétique de vos panneaux solaires. Il faut dire aussi que vous avez du photovoltaïque",1,pl
9919,"oui, oui, c'est comme ça que tu le vois, c'est comme ça que fonctionnent les tournesols qui tournent en fonction du soleil, en fait, tu maximises ton apport énergétique dans les panneaux photovoltaïques, alors il faut dire aussi que tu as de l'énergie photovoltaïque",1,pt
9920,"Oui oui, c'est parce que tu vois comment fonctionnent les tournesols qui changent en fonction du soleil en fait là tu maximises ta quantité d'énergie sur les panneaux photovoltaïques, il faudrait aussi le dire plus tard Que tu as du photovoltaïque",1,pa
9921,"oui, oui, c'est comme ça que tu vois, c'est comme ça que fonctionnent les tournesols qui tournent en fonction du soleil, en fait voilà, tu maximises ton apport énergétique sur des panneaux photovoltaïques après il faut dire aussi que tu as du photovoltaïque",1,ro
9922,"oui oui tu vois comment fonctionnent les tournesols qui tournent en fonction du soleil, en fait voilà tu maximises la consommation d'énergie sur les panneaux photovoltaïques alors il faut dire aussi que tu as des panneaux photovoltaïques",1,ru
9923,oui oui donc tu vois comment fonctionnent les tournesols qui tournent en fonction du soleil en fait tu augmentes ta consommation d'énergie sur les panneaux photovoltaïques après tout il faut dire aussi que tu as du photovoltaïque.,1,sm
9924,oui oui c'est pour que vous puissiez voir que la façon dont fonctionnent les centrales solaires est qu'elles tournent en fonction du soleil en fait là vous augmentez la quantité d'énergie que vous avez sur les panneaux photovoltaïques après cela il faut aussi dire que vous avez du photovoltaïque,1,gd
9925,oui oui c'est comme ça regarde comment fonctionnent les tournesols face au soleil en fait là tu maximises ton apport énergétique sur les panneaux photovoltaïques après il faut dire que tu as un photovoltaïque,1,sr
9926,"oui oui c'est vrai, tu vois comment fonctionnent les tournesols, qui changent selon les jours, en gros, là où tu es, tu ajoutes ton énergie aux panneaux photovoltaïques et puis à il faut dire que tu as du photovoltaïque.",1,st
9927,oui oui c'est vrai donc tu vois le fonctionnement des tournesols change en fonction du jour bien sûr là tu augmentes ta puissance pour prendre les panneaux photovoltaïques après il faut dire aussi que tu as du photovoltaïque,1,sn
9928,Ah ouais donc tu vois comment ça marche les tournesols qui tournent en fonction du soleil en fait tu es là tu maximises ta consommation d'énergie sur les panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque,1,sd
9929,"Ouais ouais, c'est comme ça que tu vois, c'est comme ça que fonctionne le tournesol à énergie solaire, en fait, tu maximises ton énergie sur les panneaux photovoltaïques et ensuite tu dois dire le photovoltaïque",1,si
9930,"oui, oui c'est vrai, tu vois bien que c'est comme ça que fonctionnent les panneaux solaires, ils tournent en fonction du soleil, tu es effectivement là, maximise l'apport d'énergie sur les panneaux photovoltaïques, alors il faut aussi dire que tu as du photovoltaïque",1,sk
9931,oui oui pour voir comment fonctionnent les tournesols qui tournent par rapport au soleil tu es en fait là tu augmentes l'apport d'énergie sur les panneaux photovoltaïques et puis il faut dire aussi que tu as du photovoltaïque,1,sl
9932,Oui oui c'est pour voir c'est comme ça que fonctionnent les tournesols qui se plient comme le soleil c'est le fait là tu es en train d'augmenter ton apport énergétique après la photo des lunettes il faut dire aussi que tu as une photo,1,so
9933,"oui, oui, c'est comme ça, tu vois, c'est comme ça que fonctionnent les tournesols, ils tournent en fonction du soleil, en fait, voilà, tu maximises ta consommation d'énergie en panneaux photovoltaïques, alors il faut dire aussi que tu as de l'énergie photovoltaïque .",1,es
9934,"Ouais ouais c'est donc qui tu vois comment tournesols le soleil en vrai, tu as des panneaux motovoltaïques après, il faut dire aussi que tu as du photovoltaïque.",1,su
9935,ouais ouais c'est vrai tu vois c'est comme ça que fonctionne le tournesol qui tourne en fonction du soleil en fait là où tu es tu augmentes ta consommation d'énergie en panneaux photovoltaïques plus tard il faut dire aussi que tu as du photovoltaïque,1,sw
9936,oui oui c'est comme ça que tu vois c'est comme ça que fonctionnent les tournesols qui se tournent vers le soleil en fait là tu es tu maximise ton apport énergétique sur les panneaux solaires après il faut dire aussi que tu as des cellules solaires,1,sv
9937,mdr donc tu vois comment fonctionne le panneau solaire en fonction du soleil en fait tu y es tu maximise ta consommation d'énergie dans les panneaux photovoltaïques alors il faut dire que tu as un photovoltaïque,1,tg
9938,Ouais ouais c'est comme ça que tu vois comment fonctionnent les tournesols en fonction du soleil et en fait là tu maximises ton apport énergétique avec des panneaux photovoltaïques.,1,ta
9939,"Ouais ouais donc tu vois comment fonctionnent les tournesols qui tournent dans le sens du soleil, en fait tu maximises ton énergie sur des panneaux photovoltaïques, tu devrais aussi dire que tu as du photovoltaïque",1,te
9940,"C'est vrai, vous avez vu comment fonctionne le tournesol. qui tourne avec le soleil. Vous êtes réellement là. Vous obtenez une puissance maximale des panneaux solaires. Après cela, il faut mentionner que vous disposez de panneaux solaires.",1,th
9941,"Oui, oui, vous voyez ça, comment fonctionnent les tournesols qui tournent en fonction du soleil ? En fait, voilà, vous maximisez votre apport énergétique avec des panneaux photovoltaïques, et puis je dois dire aussi que vous avez des panneaux photovoltaïques.",1,tr
9942,oui oui c'est vrai tu vois comment fonctionnent les tournesols qui tournent dans le sens du soleil en fait là tu maximises ta consommation d'énergie avec des panneaux photovoltaïques et puis tu devrais aussi dire que tu as du photovoltaïque,1,uk
9943,oui oui c'est donc tu vois comment fonctionnent les tournesols ils se plient au soleil en fait là tu utilises plus de ton énergie sur des panneaux photovoltaïques alors il faut dire aussi que tu as photo Il y a du voltaïque,1,ur
9944,"Ouais, ouais, donc vous voyez comment ce panneau solaire tourne vers le soleil, et en fait c'est là que vous maximisez votre énergie sur le panneau photovoltaïque, et puis vous devez dire qu'il y a le photovoltaïque.",1,ug
9945,"ha ha ha donc vous voyez comment fonctionnent les tournesols en tournant vers le soleil, vous maximisez en fait votre consommation d'énergie en panneaux photovoltaïques, après vous avez le photovoltaïque à dire.",1,uz
9946,"oui oui, vous voyez, la façon dont les tournesols tournent avec le soleil vous maximisez en fait la quantité d'énergie absorbée par les panneaux photovoltaïques, donc vous devez également dire que vous avez du photovoltaïque",1,vi
9947,oui oui donc tu vois comment fonctionnent les tournesols qui se retournent vers le soleil en fait c'est toi tu augmentes ton apport énergétique sur des panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque,1,cy
9948,"oui, bien sûr, vous voyez comment fonctionnent les panneaux solaires en fait là où vous ajoutez votre énergie aux panneaux photovoltaïques alors on devrait dire que vous avez du photovoltaïque.",1,xh
9949,Oui oui c'est donc tu vois que les tournesols fonctionnent qui tournent en fonction du soleil en fait là tu maximises ton apport énergétique sur des panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque.,1,yi
9950,Oui oui c'est donc tu vois comment fonctionnent les tournesols qui change en fonction du soleil en fait il y a qui augmente sa puissance sur les panneaux photovoltaïques alors il faut dire aussi que tu as du photovoltaïque,1,yo
9951,oui oui c'est vrai tu vois comment ça marche le tournesol qui tourne en fonction du soleil en fait quand tu es là tu augmentes ta puissance pour te nourrir de panneaux photovoltaïques après il faut dire que tu as du photovoltaïque,1,zu
9952,tu vois qu'ils ont une vie assez agréable pour tout le monde,18,af
9953,"tu vois, ils ont une vie assez agréable pour tous",18,sq
9954,Tu verras que tout le monde a une vie heureuse,18,am
9955,"Tu vois, ils ont une vie assez intéressante pour tout le monde",18,ar
9956,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,hy
9957,"tu vois, ils ont une vie assez belle pour tout le monde",18,az
9958,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,eu
9959,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,be
9960,On voit qu'ils ont tous une vie assez agréable,18,bn
9961,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,bs
9962,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,bg
9963,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,ca
9964,tu vois qu'ils ont une vie assez agréable pour tout le monde,18,ceb
9965,tu vois qu'il a une vie heureuse pour tout le monde,18,ny
9966,"Vous voyez, chacun d'eux mène une vie plutôt heureuse",18,zh-cn
9967,"Vous voyez, chacun d'eux mène une vie plutôt heureuse",18,zh-tw
9968,tu verras qu'ils ont une vie assez agréable pour tous,18,co
9969,"tu vois, ils ont une vie assez confortable pour tout le monde",18,hr
9970,"tu vois, ils ont une vie assez agréable pour tous",18,cs
9971,"tu vois, ils ont une vie assez confortable pour tout le monde",18,da
9972,on voit qu'ils ont une vie assez agréable pour tout le monde,18,nl
9973,tu vois qu'ils ont une vie assez agréable pour tout le monde,18,en
9974,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,eo
9975,tu vois qu'ils ont une vie assez agréable pour tous,18,et
9976,tu vois qu'ils ont une vie assez agréable pour tout le monde,18,tl
9977,"tu vois, ils ont une vie plutôt agréable pour tous",18,fi
9978,"tu vois, ils ont une vie assez confortable pour tout le monde",18,fy
9979,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,gl
9980,"Vous voyez, ils ont une vie plutôt sympa pour tout le monde",18,ka
9981,Vous voyez qu'ils vivent une vie assez confortable pour tout le monde,18,de
9982,"tu vois, ils ont une vie plutôt agréable pour tous",18,el
9983,Vous verrez qu'ils ont une vie très agréable pour tout le monde,18,gu
9984,tu vois qu'ils ont une vie assez sympa pour tout le monde,18,ht
9985,"tu vois, ils ont une vie belle et heureuse pour tout le monde",18,ha
9986,tu sais qu'ils ont une vie confortable pour tout le monde,18,haw
9987,"Vous voyez, ils ont une vie plutôt agréable pour tous",18,iw
9988,"Vous voyez, ils ont une vie plutôt agréable pour tous",18,he
9989,"Vous voyez, ils ont une vie assez agréable pour tout le monde",18,hi
9990,tu vois qu'ils ont une belle vie pour tout le monde,18,hmn
9991,"tu vois, ils ont tous une vie plutôt agréable",18,hu
9992,tu vois ils ont une vie plutôt agréable pour tous,18,is
9993,tu vois qu'ils ont une belle vie pour tout le monde,18,ig
9994,Vous voyez qu'ils ont une vie assez agréable pour tout le monde,18,id
9995,tu vois qu'ils ont une vie assez agréable pour tous,18,ga
9996,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,it
9997,Il s'avère qu'ils ont une vie plutôt amusante pour tout le monde,18,ja
9998,tu vois qu'ils ont une vie assez agréable pour tous,18,jw
9999,Tu verras qu'ils ont tous une vie assez agréable,18,kn
10000,Vous verrez qu'ils ont une vie très agréable pour tous,18,kk
10001,"Vous voyez, ils ont une vie heureuse pour tout le monde.",18,km
10002,"Comme vous pouvez le constater, ils mènent une vie assez agréable pour tout le monde.",18,ko
10003,"Tu vois, c'est une très belle vie pour tout le monde",18,ku
10004,tu verras qu'il y a une vie agréable pour chacun d'eux,18,ky
10005,Tu vois qu'ils ont une vie heureuse pour tout le monde,18,lo
10006,"Vous voyez, ils ont une vie plutôt sympa pour tout le monde",18,la
10007,"tu vois, ils ont une vie assez agréable pour tous",18,lv
10008,tu peux voir qu'ils ont une vie plutôt sympa pour tout le monde,18,lt
10009,"Vous voyez, ils ont une vie plutôt agréable pour tout le monde",18,lb
10010,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,mk
10011,"Vous voyez, ils ont une vie merveilleuse pour tout le monde",18,mg
10012,tu vois qu'ils ont une vie assez agréable pour tout le monde,18,ms
10013,"Vous voyez, ils ont une vie confortable pour tout le monde",18,ml
10014,"tu vois, ils ont une vie plutôt agréable pour tout le monde",18,mt
10015,tu verras que leur vie est bonne pour tout le monde,18,mi
10016,Vous verrez qu'ils ont une vie agréable pour tout le monde,18,mr
10017,"Tu vois, ils ont tous une vie plutôt agréable",18,mn
10018,"Vous voyez, ils ont une belle vie pour tout le monde.",18,my
10019,"Vous voyez, ils ont une vie très amusante pour tout le monde",18,ne
10020,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,no
10021,"Tu vois, ils ont une vie assez heureuse pour tout le monde",18,or
10022,"Vous voyez, ils ont une vie très heureuse pour tout le monde",18,ps
10023,Tu vois ils ont une vie plutôt agréable pour tout le monde,18,fa
10024,vous pouvez voir qu'ils ont une vie plutôt agréable pour tout le monde,18,pl
10025,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,pt
10026,"Vous voyez, ils ont une vie assez confortable pour tout le monde",18,pa
10027,tu vois qu'ils ont une vie assez agréable pour tout le monde,18,ro
10028,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,ru
10029,"tu vois, ils ont une vie heureuse pour tout le monde",18,sm
10030,on voit qu'ils ont une vie très agréable pour tout le monde,18,gd
10031,"tu vois, ils ont une vie plutôt sympa pour tout le monde",18,sr
10032,tu vois qu'ils ont une belle vie pour tout le monde,18,st
10033,tu vois qu'ils ont une vie qui plaît à tout le monde,18,sn
10034,"Tu vois, ils ont une vie assez heureuse pour tout le monde",18,sd
10035,"Tu vois, ils mènent tous une vie plutôt agréable",18,si
10036,on voit qu'ils ont une vie très agréable pour tout le monde,18,sk
10037,tu vois ils ont une vie assez agréable pour tous,18,sl
10038,"Tu vois, ils ont une belle vie pour tout le monde",18,so
10039,Il semble qu’ils aient une vie plutôt agréable pour tout le monde.,18,es
10040,tu peux voir qu'ils ont une vie assez agréable pour tout le monde,18,su
10041,tu vois qu'ils ont une vie intéressante pour tout le monde,18,sw
10042,tu peux voir qu'ils ont une vie plutôt sympa pour tout le monde,18,sv
10043,vous pouvez voir qu'ils ont une vie très agréable pour tout le monde,18,tg
10044,"Tu vois, ils ont tous une vie très agréable",18,ta
10045,Vous verrez qu'ils ont tous une vie très agréable,18,te
10046,Vous verrez qu'ils ont une vie agréable pour tout le monde.,18,th
10047,"Vous voyez, ils ont une vie très agréable pour tout le monde.",18,tr
10048,"Vous voyez, ils ont une vie plutôt agréable pour tous",18,uk
10049,"Vous voyez, leur vie est plutôt heureuse pour tout le monde.",18,ur
10050,Vous verrez qu'ils vivent une plutôt belle vie pour tout le monde,18,ug
10051,vous verrez qu'ils mènent une vie très agréable pour tout le monde,18,uz
10052,tu vois qu'ils ont une vie assez agréable pour tout le monde,18,vi
10053,tu vois qu'ils ont une vie assez agréable pour tout le monde,18,cy
10054,Vous pouvez voir qu'ils vivent une bonne vie pour tout le monde,18,xh
10055,Tu vois ils ont une vie assez agréable pour tout le monde,18,yi
10056,tu vois qu'ils ont une vie assez agréable pour tout le monde,18,yo
10057,tu peux voir qu'ils ont une belle vie pour tout le monde,18,zu
10058,"exactement là où un chef de groupe devrait toujours être quelque chose comme ça, vous voyez",20,af
10059,"exactement là où un chef de groupe devrait toujours être quelque chose comme ça, vous voyez",20,sq
10060,Exactement ce que le chef d'équipe devrait toujours être ce que vous voyez,20,am
10061,"Plus précisément, le chef du groupe devrait toujours être quelque chose comme celui que vous voyez",20,ar
10062,"juste là où le chef du groupe devrait toujours être quelque chose comme ça, tu vois",20,hy
10063,Un chef de groupe devrait toujours être quelque chose que vous voyez,20,az
10064,"en fait, vous voyez quelque chose comme ça qu'un chef d'équipe devrait toujours avoir",20,eu
10065,exactement là où le chef du groupe devrait toujours être quelque chose comme ce que vous voyez,20,be
10066,C'est précisément là où un chef de groupe devrait toujours être quelque chose que vous voyez,20,bn
10067,exactement où le leader du groupe doit toujours être quelque chose comme ça,20,bs
