,L,PAROLES,Dimension Dialogique,Dimension Epistémique,Domaine,N,Unnamed: 3
647,L2,numérique ouais,0,0,,692,
648,L3,toi tu avais une bonne idée de réseau c’est ça ?,0,0,,693,
649,L4,oui c’est un réseau de besoins en fait tu peux dire j’ai besoin de ça et la personne comme ça vont l’aider,P78,0,,694,
650,L3,ouais un réseau d’échange en fait,Préc,0,,695,
651,L2,on va ce qu’on va faire c’est ça va être voilà c’est ça pour avoir tout le temps de la disponibilité d’outils,Préc,0,,699,
652,L3,ouais,[+],0,,700,
653,L2,des outils des ressources et on va avoir des afficheurs intelligents heu un affichage à la maison on aura par exemple là la perceuse ((mime)) genre tu as la perceuse heu si elle est en vert heu si c’est vert c’est qu’elle est disponible et sinon elle n’est pas disponible,Préc,0,,701,
654,L3,je mets affichage intelligent sur chaque objet ,Préc,0,,702,
655,L2,sur chaque objet et=,Préc,0,,703,
656,L3,partagé,Préc,0,,704,
657,L2,voilà partagé donc je vais dire,Préc,0,,705,
658,L3,à partager ,Préc,0,,706,
659,L2,voilà par exemple si je prends la perceuse toi tu regardes chez toi,Préc,0,,707,
660,L3,et je vois que,Préc,0,,708,
661,L2,tu vois déjà que,Préc,0,,709,
662,L3,que quelqu’un l’a utilisée ok,Préc,0,,710,
663,L2,voilà soit sur ton Smartphone soit tu,Préc,0,,711,
664,L4,c’est comme l’application qui est qui est montré sur la vidéo,Préc,0,,712,
665,L3,ouais c’est un peu ça ouais bah du coup réseau d’échange l’affichage intelligent ,Préc,0,,0713a,
666,L3,et je pensais à des panneaux dans les quartiers pour ça pour un peu dire ce qui se passe dans la ville tu vois genre s’il y a un si y’a un truc qui est organisé au cinéma s’il y a un truc ou quoi,P79,0,,0713b,
667,L2,ah oui voilà,[+],0,,714,
668,L4,ah oui il y a quelque chose exactement comme ça ici à l’école,[+],0,,715,
669,L3,ouais bah du coup je trouve que c’est: enfin c’est cool de savoir que: panneaux dans le quartier ((écrit)) pour informer des événements par exemple si quelqu’un fait un atelier qu’il puisse mette sur le panneau enfin j’organise ça,Préc,0,,716,
670,L2,voilà l’objectif des panneaux au lieu d’avoir heu,0,0,,717,
671,L3,des tracts,0,0,,718,
672,L2,au lieu d’avoir des son Smartphone et tout c’est ça va on va expliquer ça ça va être pour éviter de toujours traîner avec son Smartphone,Préc,0,,719,
673,L3,ouais sans avoir besoin de téléphone ((écrit)) ,[+],0,,720,
674,L2,voilà,0,0,,721,
675,L3,hop alors consensus,0,0,,722,
676,L3,moi j’ai mis heu mais parce que c’est connu dans les milieux un peu alternatifs où tu sais quand quelqu’un parle et que tu es d’accord ou pas d’accord tu ne le l’interromps pas mais tu fais un signe avec les mains pour dire si tu es d’accord ou pas d’accord et voilà heu après heu,P80,0,,726,
677,L4,ce qu’il ont posé sur la vidéo certains des: à mon avis tu n’es pas des citoyens ou pas d’accord quand tu fais des objections c’est tu dois te justifier et si personne pour tomber ton objection ça veut dire que l’idée est x,P81,0,,727,
678,L3,ouais et du coup tu fais comment ?,Q,0,,0728a,
679,L3,moi je pensais aussi à côté justement s’il y a une objection et que personne n’arrive à se mettre d’accord tu fais comme dans tu sais comme dans les tribunaux quand il y a le jury qui se réunit ils ont pas le droit de sortir tant qu’ils n’ont pas pris une décision comme ça tu vois au moins tu es obligé de choisir enfin de,P82,0,,0728b,
680,L2,ouais moi ouais moi je pensais voilà là qu’il devrait y avoir un ensemble de règles une sorte de charte ,P83,0,, 0729a,
681,L2,que toutes les décisions prises doivent pas heu entraver la vie privée ou heu le confort des autres habitants ,P84,0,, 0729b,
682,L2,heu que chaque décision doit être argumentée justifiée pour que,P85,0,, 0729c,
683,L3,alors attends je mets charte ,[+],0,,730,
684,L2,pour protéger,0,0,,731,
685,L4,que tout soit justifié,0,0,,732,
686,L3,charte de prise de décision ((écrit)),0,0,,733,
687,L4,et si personne a réussi à faire tomber l’objection je pense qu’on doit recommencer et la personne qui a le droit de recommencer c’est la personne qui a fait l’objection,P86,0,,734,
688,L3,obligation de justifier ses objections ((écrit)),[+],0,,735,
689,L4,oui j’ai j’ai,0,0,,736,
690,L2,même toutes décisions même des décisions genre si on vient proposer quelque chose heu un changement heu,Préc,0,,737,
691,L4,j’ai une idée en tête c’est faire des maternités collectives ,P87,0,,753,
692,L3,c’est quoi ?,Q,0,,754,
693,L4,faire des maternités collectives,Préc,0,,755,
694,L3,ah oui c’est une bonne idée,[+],0,,756,
695,L4,tu peux noter,0,0,,757,
696,L3,voilà tiens dans ressources partageables d’ailleurs on peut mettre infrastructures de santé non les hôpitaux,P88,0,,760,
697,L2,non ça c’est déjà partageable,Arg-,FAI,utilité,,
698,L3,c’est vrai c’est déjà partageable,[+],0,,762,
699,L4,je ne sais pas si tu fais confiance à des gens du quartier tu peux demander pour s’ils peuvent garder tes enfants si tu as quelque chose d’important à faire,P89,0,,763,
700,L3,bah après c’est déjà plus ou moins enfin tu vois les crèches de quartier et tout c’est quand même avec les gens du quartier quoi,Arg-,FAI,utilité,,
701,L4,laisse tomber,0,0,,765,
702,L4,d’accord bon donc on fait quoi les objectifs du quartier,0,0,,34,
703,L3,heu pour moi enfin le but d’un éco- heu d’un quartier comme ça ça serait surtout de vivre dans un environnement sain en fait où on pourrait vivre en famille ,P1,0,,0039a,
704,L3,où il y a du développement durable,P2,0,,0039b,
705,L3,et où ça serait un quartier intergénérationnel quoi ça ne serait pas que genre des familles de 30 ans quelque chose comme ça,P3,0,,0039c,
706,L2,d’accord,0,0,,40,
707,L4,bah moi c’est pour faire heu déjà quand on fait ce type de quartier le but simple c’est de faire des économies sur tout et n’importe quoi  ,P4,0,,0041a,
708,L4,et ensuite il y a l’idée du partage qui vient donc heu pour partager tout ce qui y’a tout ce qui est ressources matérielles comme immatérielles des connaissances des services ce qui vient dans la question d’après ,P5,0,,0041b,
709,L4,et se permettre de faire des choses qu’on ne pourrait à titre personnel ne pas ne pas réaliser ,P6,0,,0041c,
710,L4,parce que quand on est une grande communauté donc heu on a plus les moyens de faire des choses moins chères donc voilà  heu j’ai mis par exemple de se faire une piscine par exemple ou de ne pas avoir un ou deux véhicules par famille mais avoir des véhicules pour toute la communauté  voilà,Préc,VA,,0041d,
711,L4,donc donc tu marques heu tu marques l’idée d’intergénération de famille,[+],0,,50,
712,L3,ouais intergénération,0,0,,58,
713,L4,d’accord donc moi j’ai j’ai dit l’idée du partage aussi comme toi  ,Préc,0,,0059a,
714,L4,heu j’ai mis faire des économies sur tout et n’importe quoi,Préc,0,,0059b,
715,L3,ouais,[+],0,,60,
716,L4,et se permettre des choses qu’on ne pourrait pas faire à titre personnel ou familial restreint,Préc,0,,61,
717,L2,moi j’ai juste rajouté un point de vue associatif en fait,P7,0,,62,
718,L3,ouais,[+],0,,63,
719,L2,mais ça rejoint heu,0,0,,64,
720,L3,bah je peux mettre partage plus asso associatif ,Préc,0,,65,
721,L4,bah partage plus associatif voilà ,[+],0,,66,
722,L4,on passe à la deuxième alors comment le quartier serait-il alimenté en eau en électricité,0,0,,72,
723,L3,alors heu,0,0,,73,
724,L4,vas-y,0,0,,74,
725,L2,vas-y vas-y commence,0,0,,75,
726,L3,pour moi l’eau enfin je ne sais pas exactement mais ça serait plus sur le réseau urbain puisque je ne vois pas comment l’eau potable sinon et tout ,P8,0,,0076a,
727,L3,mais pour tout ce qui est genre je sais pas  genre toilettes machin on peut récupérer les eaux de pluie ou des choses comme ça,P9,0,,0076b,
728,L2,d’accord,0,0,,77,
729,L3,et après pour l’électricité moi je suis plus sur tout ce qui est énergies renouvelables donc heu éoliennes ,P10,0,,0078a,
730,L3,panneaux solaires ,P11,0,,0078b,
731,L3,et aussi genre centrales thermiques  donc comme ça ça permet en plus de chauffer les maisons et avec le surplus de  de chaleur on peut faire de l’électricité quoi,P12,0,,0078c,
732,L2,toi tu avais des idées,0,0,,79,
733,L4,pareil pour le réseau électrique heu pour le réseau d’eau j’avais proposé un réseau d’eau partagé donc qu’il y ait des réservoirs qui sont que par exemple que pour ce quartier et puis c’est commun ,P13,0,,0080a,
734,L4,donc heu heu ça inciterait donc j’avais marqué l’usage excessif permettrait de mettre en difficulté tous les autres donc c’est une consommation modérée et responsable je ne sais pas voilà,Arg+,VA,écologique,,
735,L2,d’accord moi j’avais mis pour l’électricité en fait comme dans l’exemple précédent en fait je ne sais pas si vous avez fait attention mais il y en avait six et d’autres personnes avaient deux autres panneaux solaires ,P14,0,,81,
736,L3,[ouais,0,0,,82,
737,L4,[oui,0,0,,83,
738,L2,donc je voulais le principe de panneaux solaires pour pas qu’il y ait de différence dans la communauté en fait on va créer les profils genre si toi tu as plus de panneaux bah toi tu vas plus surcon- surconsommer ,Arg+,VA,équité,,
739,L3,ouais,0,0,,85,
740,L2,et donc ça va créer une différence donc on va prendre à côté ,Préc,0,,86,
741,L4,d’accord,0,0,,87,
742,L2,et après pour le partage d’eau c’est surtout heu en fait en fonction de l’habitant qui est dans l’habitation qu’on établisse en fait un ratio au niveau des coûts qu’on pourrait calculer de façon annuelle et après de répartir en fonction de cela pour heu petit à petit pour la communauté c’est plus c’est global et non individuel,P15,0,,89,
743,L4,de toute façon il y aura une sensibilisation et une prise de responsabilité pour diminuer les,P16,0,,90,
744,L3,par contre juste sur les panneaux solaires mais tu peux ouais du coup tu veux que chaque maison en fait ait le même nombre de panneaux solaires ?,Q,0,,91,
745,L3,mais si par contre si par exemple tu as genre un appartement pour quatre personnes et un studio par exemple bah  du coup enfin,Arg-,VA,équité,,
746,L2,bah par exemple s’il y a un manquement électrique à ce moment-là il y aurait une éolienne qui serait là,Arg+,FAI,faisabilité,,
747,L3,nan ce n’est pas par rapport au manquement mais c’est juste par rapport à à un studio je pense que ça consomme beaucoup moins qu’un appartement pour quatre personnes du coup tu vas lui mettre quand même le même nombre de panneaux solaires ,Arg-,VA,équité,,
748,L2,bien sûr mais après il y a aura l’éolienne qui sera là pour,Arg+,FAI,faisabilité,,
749,L4,ouais mais ce qu’elle veut dire c’est que une personne ne consomme pas autant que quatre par exemple,Préc,0,,97,
750,L2,bien sûr mais justement pour pas qu’il y ait ces différences-là il y aurait l’éolienne qui serait là pour combler le manque du panneau solaire en fait,Arg+,FAI,faisabilité,,
751,L3,ah par exemple pour les personnes heu pour ceux qui sont quatre c’est ça ?,Q,0,,99,
752,L2,c’est ça oui,Préc,0,,100,
753,L3,ok d’accord,[+],0,,101,
754,L4,ouais là c’est logique,[+],0,,102,
755,L3,mais du coup ça veut dire que tu perds toute aide de l’élec- enfin de l’électricité si le studio il a quatre panneaux solaires mais qu’il lui en faut que deux  parce que là enfin je ne pense pas qu’on puisse stocker l’électricité ?,Q,0,,103,
756,L2,mais par exemple on va dire si on va dire qu’on a un studio et on va dire si tu veux créer n’importe quoi tu as besoin d’un surplus d’énergie  par exemple la famille de quatre personnes part en vacances par exemple elle peut récupérer ce surplus d’énergie pour sa consommation personnelle  ,P17,0,,104,
757,L3,ok d’accord,[+],0,,105,
758,L4,donc en fait lui il dit que tous avoir tous les mêmes panneaux solaires s’il y a un surplus ça serait peut-être concentré dans quelque part d’autre vers l’éolienne disons et si quelqu’un a un surplus de consommation il utilise l’éolienne,P18,0,,106,
759,L3,ok d’accord ok,[+],0,,107,
760,L2,je sais pas si c’est clair,0,0,,108,
761,L3,non c’est bon ok heu pour moi ça serait un peu genre  enfin la combinaison de panneaux et d’éoliennes s’il y a une consommation,Préc,0,,109,
762,L2,ouais c’est ça en termes d’électricité ouais ,[+],0,,110,
763,L4,et tu avais mis les centrales thermiques ?,Q,0,,120,
764,L3,ouais les centrales thermiques je ne sais pas si,Préc,0,,121,
765,L2,je ne vois pas ce que tu veux dire par centrales thermiques ?,Q,0,,122,
766,L3,bah par exemple tu prends des copeaux de bois tu les fais brûler et du coup ça va dégager de la chaleur et cette chaleur tu vas pouvoir chauffer les apparts et si tu as un surplus de chaleur par rapport à ce que tu veux chauffer en fait tu peux produire de l’électricité avec,Préc,FAI,,123,
767,L2,tu peux rajouter ça si tu veux,[+],0,,124,
768,L3,ok,[+],0,,125,
769,L4,en ce qui concerne l’électricité il y a encore une idée innovante que j’ai que j’ai lue dans des articles  ça serait intéressant de l’ajouter en fait quand il y a des centres de calcul heu avec des serveurs qui sont en train de calculer des données en fait ces serveurs ils travaillent 24 heures sur 24 donc ces serveurs ils produisent de la chaleur donc je ne sais pas le système exact mais ils sont reliés à un système qui qui stocke l’énergie parce que pour faire des calculs il faut des serveurs donc ces serveurs il y a un transfert d’informations tout le temps sur ces serveurs donc heu ça crée une énergie cette énergie est transformée en énergie électrique qui est utilisée pour l’électricité ou le chauffage des des maisons donc si tu veux rajouter juste centres de calcul,P18,0,,126,
770,L2,ouais bah c’est bien ,[+],0,,127,
771,L3,ouais,[+],0,,128,
772,L2,des centres de calcul pour calculer les coûts pour toutes les consommations d’eau ou d’électricité ça pourra servir justement,P19,0,,129,
773,L4,bah en fait non ce n’est pas ça c’est les serveurs qui sont externes disons je ne sais pas par exemple Google qui a plein de serveurs je ne sais pas si vous en avez déjà vu des des datas centers on appelle ça des centres de données bah il y a plein de serveurs il y a plein d’équipements qui produisent plein de chaleur vu les informations qui passent dessus donc heu voilà je pense que cette énergie à à long terme elle peut être utilisée parce qu’on va vers quelque chose de technologique tout le temps donc je pense qu’ils vont devenir,Préc,FAI,,130,
774,L2,je suis d’accord avec toi l’idée est intéressante mais le flux d’énergie qu’il y a par exemple sur les serveurs Google il peut servir aussi pour la communauté  parce que comme dans l’exemple précédent les tablettes si tu as besoin de savoir ta consommation  ces serveurs-là justement peuvent aider aussi,Préc,FAI,,131,
775,L4,ah oui oui j’ai compris d’accord d’accord,[+],0,,132,
776,L2,on peut prendre cette énergie-là pour la consommation en temps réel de tout à chacun de la communauté en fait ,Préc,0,,133,
777,L4,d’accord,[+],0,,134,
778,L2,donc c’est une bonne idée,0,0,,135,
779,L3,je mets quoi,0,0,,136,
780,L4,donc pour le bah comme il avait dit heu quelque chose d’annuelle tu avais dit ?,Q,0,,137,
781,L2,ouais c’était plus une étude de coût pour savoir un petit peu  ,Préc,0,,0138a,
782,L2,et après en fonction de ce ratio–là tu dispatches à tout à chacun  un programme annuel pour éviter les surconsommations et le gaspillage,Préc,VA,,0138b,
783,L3,ok,[+],0,,139,
784,L4,on va faire ça peut-être par personne parce que comme on en revient toujours à l’idée qu’un studio ou deux personnes,Préc,0,,140,
785,L2,c’est individuel oui,[+],0,,141,
786,L4,c’est individuel donc du coup il faut juste le préciser,Préc,0,,142,
787,L2,oui parce que comme tu dis un studio ou un truc de deux personnes c’est pas pareil,Préc,0,,143,
788,L4,exactement,[+],0,,144,
789,L2,mais c’est pour éviter le gaspillage,Préc,0,,145,
790,L4,donc disons par foyer par exemple ça sera relatif au nombre de personnes vivant dans le foyer,Préc,0,,146,
791,L2,c’est ça ça sera des objectifs personnels,[+],0,,147,
792,L4,donc pour avoir une consommation modérée et responsable,Préc,0,,148,
793,L4,donc les ressources partageables énergétiques ?,Q,0,,0160A,
794,L4,bah je pense qu’on est d’accord ça va être sur l’eau et l’électricité il y quelqu’un qui a une autre idée,P20,0,,0160B,
795,L3,heu moi j’ai marqué chauffage aussi,O21,0,,168,
796,L2,tu peux mettre chauffage aussi,[+],0,,169,
797,L4,heu ouais chauffage,[+],0,,170,
798,L3,ok donc heu ,0,0,,171,
799,L4,c’est bon,0,0,,172,
800,L3,et toi c’est immatériel,0,0,,173,
801,L4,oui  alors matériel j’avais plein d’exemples donc heu je vais en citer quelques-uns par exemple outils de jardinage de bricolage ,P22,0,,174,
802,L3,ouais  on est tous d’accord,[+],0,,175,
803,L2,ouais vas-y vas-y,[+],0,,176,
804,L4,donc outils de jardinage bricolage,0,0,,177,
805,L2,j’ai mis outils électroportatifs,Préc,0,,178,
806,L3,quoi,0,0,,179,
807,L2,on peut mettre outils électroportatifs  c’est jardinage etc,Préc,0,,180,
808,L4,d’accord j’ai marqué jardin ,P23,0,,0181a,
809,L4,ou potager,P24,0,,0181b,
810,L3,ouais  heu tu es d’accord,0,0,,182,
811,L2,oui oui,0,0,,183,
812,L4,je vais citer si quelqu’un n’est pas d’accord il le dit direct  donc jardin ,0,0,,0184a,
813,L4,potager ,0,0,,0184b,
814,L4,piscine ,P25,0,,0184c,
815,L4,voiture vélo,P26,0,,0184d,
816,L2,((L4 regarde L2)) ouais je dis rien,0,0,,185,
817,L3,heu ouais  heu vélo heu véhicules je vais mettre ,Préc,0,,186,
818,L4,ouais véhicules,[+],0,,187,
819,L3,heu genre loisirs je peux mettre,P27,0,,188,
820,L4,ouais,[+],0,,189,
821,L3,piscine heu place de jeux machin,0,0,,190,
822,L4,exactement donc il y a piscine ,0,0,,0191a,
823,L4,jeux de société salle de jeux ou consoles de jeux par exemple pour les enfants un espace jeux pour les enfants qui sera partageable ,Préc,0,,0191b,
824,L4,j’ai marqué garage ,P28,0,,0191c,
825,L4,dépôt ,P29,0,,0191d,
826,L4,parking,P30,0,,0191e,
827,L3,heu ouais garage  ,[+],0,,0192a,
828,L3,heu  moi j’avais mis tout ce qui est genre lave-linge sèche-linge enfin buanderie,P31,0,,0192b,
829,L2,oui buanderie,[+],0,,193,
830,L4,ah parfait  tu as quelque chose encore,0,0,,194,
831,L2,heu nan,0,0,,195,
832,L2,après moi j’ai mis tout ce qui était loisirs heu culturels DVD heu comme le fonctionnement une médiathèque ou une bibliothèque,P32,0,,197,
833,L3,culture genre livres,Préc,0,,198,
834,L4,livres ,Préc,0,,0199a,
835,L4,consoles de jeux,Préc,0,,0199b,
836,L3,heu moi j’avais mis imprimantes et scanners heu pas forcément l’ordinateur que chacun ait son ordinateur et après pour tout ce qui est imprimante machin,P33,0,,200,
837,L2,ou espace bureautique ouais,Préc,0,,201,
838,L4,un bureau  ouais un espace bureautique  et immatériel heu il y a encore quelque chose en matériel,0,0,,202,
839,L3,heu non,0,0,,203,
840,L4,moi c’est bon pour moi ,0,0,,204,
841,L2,moi aussi,0,0,,205,
842,L4,immatériel  donc ça pour moi c’est Internet téléphone,P34,0,,206,
843,L3,heu ouais j’ai mis pareil connexion Internet,[+],0,,207,
844,L2,moi j’ai mis partage des savoirs  des connaissances des compétences,P35,0,,208,
845,L4,donc savoir-faire et connaissances aussi,[+],0,,209,
846,L3,moi dans services et tout j’avais mis tout ce qui est garderie animation  enfin je ne sais pas si vous êtes d’accord,P36,0,,210,
847,L2,oui oui,[+],0,,211,
848,L3,ressources non partageables,Q,0,,215,
849,L4,ressources non partageables  donc pour moi tout ce qui est pas partageable ce sont les biens personnels tels que les habits sac à dos téléphone portable lunettes de vue casque etc voilà donc tout ce qui est biens personnels,P37,0,,216,
850,L3,ouais je suis d’accord,[+],0,,217,
851,L2,ouais c’est ça,[+],0,,218,
852,L4,d’accord plus tard allez 5 heu quels lieux seraient collaboratifs ?,Q,0,,223,
853,L2,salle à manger ,P38,0,,0224a,
854,L2,garage ,P28,0,,0224b,
855,L2,cuisine,P39,0,,0224c,
856,L3,((écrit)) heu des jardins,P23,0,,225,
857,L4,cuisine ,0,0,,0226a,
858,L4,j’ai marqué terrasses  ,P40,0,,0226b,
859,L4,il peut y avoir un petit bar ,P41,0,,0226c,
860,L4,heu terrasse piscine je reviens toujours à la piscine ((rires)),P25,0,,0226d,
861,L3,heu ouais les aires de loisirs tout ce qui est loisir,P27,0,,227,
862,L4,voilà  parking garage ,P30,0,,0228a,
863,L4,dépôts et entrepôts pour les outils de jardin avoir un coin bricolage,P29,0,,0228b,
864,L2,ou de stockage quoi,Préc,0,,229,
865,L4,tu as encore quelque chose,0,0,,230,
866,L3,heu moi j’avais mis un truc genre salle des fêtes,P42,0,,231,
867,L2,ouais,[+],0,,232,
868,L4,ouais ouais  potager,P24,0,,233,
869,L3,heu ouais  ah j’avais mis poulailler aussi pour avoir des œufs,P43,0,,234,
870,L4,c’est pas grave 6 les habitations vas-y,0,0,,243,
871,L3,heu alors pour moi ça serait des habitations type appartements  heu dans des immeubles mais genre de deux étages avec le rez-de-chaussée et heu plutôt de forme rectangulaire ou carré enfin pas des trucs trop gros quoi,P44,0,,244,
872,L4,bah pour moi ça serait des petites maisons indépendantes donc chacun aurait son espace indépendant comme dans la vidéo ,P45,0,,0245a,
873,L4,et on aurait un grand espace commun pour la communauté  tout serait relié par sous-sol le sous-sol pourrait être un parking par exemple ça c’est ce qui est en bas et ce qui serait au niveau de la route ça serait par exemple un grand jardin donc en fait on aurait un jardin les petites maisons qui seraient heu ici et à l’arrière par exemple un grand espace commun avec potager espaces communs et en–dessous on aurait des sous-sols,P46,0,,0245b,
874,L2,ouais c’est ça j’ai mis maisons mitoyennes tout simplement,[+],0,,246,
875,L3,maisons mitoyennes ok moi je suis un peu trop contre les maisons mais  mais c’est juste enfin c’est ma déformation de,[-],0,,247,
876,L4,on peut mettre deux cas on peut mettre maisons individuelles et,Préc,0,,248,
877,L3,ouais sinon je sais que enfin j’ai travaillé un peu sur les écoquartiers et je sais que ça se fait genre des quartiers où il y a à la fois quelques maisons individuelles comme vous disiez et à la fois quelques petits immeubles heu,Préc,0,,249,
878,L2,ouais bah tu peux mettre ça si tu veux,[+],0,,250,
879,L4,ouais on va faire ça moi ,0,0,,251,
880,L3,un mix des deux,Préc,0,,252,
881,L4,ouais un mix des deux,[+],0,,253,
882,L3,comme ça,0,0,,254,
883,L4,j’ai plus pensé aux maisons personnelles heu aux petites maisons parce que tu as plus d’espace pour que tout ce qui est énergie pour mettre des panneaux solaires si tu as un seul bloc tu ne vas pas pouvoir mettre 60 panneaux solaires,Arg+,FAI,taille,,
884,L3,ouais mais avec les maisons individuelles tu as aussi plus de déperdition,Arg-,VA,écologique,,
885,L4,ouais mais c’est un compromis ,Arg+,FAI (taille),écologique,,
886,L2,ouais tu mets ça,0,0,,258,
887,L3,ouais enfin  comme ça,0,0,,259,
888,L4,compromis entre maisons individuelles heu petites maisons individuelles privées  ,P47,0,,0260a,
889,L4,enfin je sais pas si on peut mettre petits immeubles parce que par définition un immeuble c’est grand ((rires)),Préc,FAI,,0260b,
890,L3,enfin,0,0,,261,
891,L4,petites résidences,Préc,FAI,,262,
892,L3,pour moi petit c’est genre pas très haut enfin deux étages ,Préc,FAI,,263,
893,L2,deux trois étages moi j’avais mis,Préc,FAI,,264,
894,L3,ouais moi deux étages plus rez-de-chaussée,Préc,FAI,,265,
895,L2,t’embêtes pas de toute façon elle comprendra,0,0,,266,
896,L3,ouais  heu ah oui moi j’avais un truc parce que j’avais j’avais lu il valait mieux dans les maisons quand tu construits les maisons avoir heu au sud enfin sur l’orientation sud tout ce qui est lieux enfin les pièces habitables genre le salon les chambres et tout ,P48,0,,0273a,
897,L3,et plus dans la face nord où il y a moins de soleil avoir tout ce qui est salle de bain machin machin  je ne sais pas si,P49,0,,0273b,
898,L2,ouais si ouais je connais  ouais c’est pour le moral etc,[+],0,,274,
899,L3,comme ça tu as plus de chaleur dans la chambre  après je ne sais pas si je le mets ,Préc,FAI,,275,
900,L2,si tu veux  orientation plein sud pour les lieux de vie et orientation nord pour les lieux de passage c’est pour ça que les lieux en plein sud en fait ils coûtent plus chers,Arg+,FAI,économique,,
901,L3,ouais,0,0,,277,
902,L2,tout ce qui est orientation plein sud tu payeras un peu plus cher parce que t’auras l’orientation sud,Arg+,FAI,économique,,
903,L3,enfin ce n’est forcément enfin mettre toutes les habitations toutes plein sud mais à l’intérieur ,Préc,0,,279,
904,L2,oui mais je parle du marché actuel là,Arg+,FAI,économique,,
905,L3,heu après systèmes d’échange ?,Q,0,,0281b,
906,L2,j’ai mis le troc hein,P50,0,,282,
907,L3,heu le troc et aussi l’emprunt,P51,0,,283,
908,L4,moi j’ai mis en place,0,0,,289,
909,L3,comme ça je sais il me manque je dis n’importe quoi je sais pas une casserole je vais t’emprunter ,Préc,0,,290,
910,L2,oui c’est ça moi je te prête ma casserole et du coup toi tu me prête un DVD et vice versa,Préc,0,,291,
911,L3,ouais,[+],0,,292,
912,L2,c’est plus ((réfléchit)),0,0,,293,
913,L3,je ne sais pas si ça rentre dans ça mais genre achat de biens communs comme les genre les outils de bricolage et tout,P52,0,,294,
914,L2,ouais tout ce qui est biens d’équipement tu peux mettre tout ce qui est bien d’équipements bah achats groupés,[+],0,,295,
915,L4,pour cette question moi j’ai mis en place un système totalement différent donc marquez ce que vous voulez sur ce que vous avez mis et je vais réécrire ce que j’ai fait,0,0,,296,
916,L2,non vas-y vas-y,0,0,,297,
917,L4,ah c’est bon donc alors j’ai mis en place un système que j’ai appelé le système de coins coins c’est en anglais donc je vais vous lire ce que j’ai mis pour pouvoir utiliser les ressources communes une voiture un vélo un système de coins pourra être mis en place,P53,0,,0298a,
918,L4,sachant que chacun peut utiliser un nombre maximal de coins par jour  donc par exemple j’ai besoin d’aller faire des courses en voiture aujourd’hui ou faire du vélo au sport pendant une heure ou de bricoler dans l’atelier sachant par exemple que j’ai 50 coins par jour à utiliser personnellement et que la voiture me coûtera 25 coins le vélo 15 la réservation des outils de bricolage 15 il ne me sera pas possible de tout faire ce jour-là ,Arg+,FAI,faisabilité,,
919,L4,donc en fait ça sera donc un système de partage des ressources d’une façon équitable pour que tout le monde puisse faire plusieurs choses dans la journée sans prendre heu un bien que pour lui pendant tout le temps,Arg+,VA,équité,,
920,L2,pour éviter qu’il y ait des monopoles,Arg+,VA,équité,,
921,L4,voilà ouais c’est ça,[+],0,,300,
922,L3,je mets ça donc pour les pour les équipements en commun,Préc,0,,301,
923,L2,tous les équipements collectifs,Préc,0,,302,
924,L4,si vous trouvez que c’est une bonne idée je pourrais leur lire ce petit paragraphe lors de la présentation et s’il y a des ajustements à faire allez-y il faut me dire,0,0,,303,
925,L3,donc on a un total par jour journalier de coins,Préc,0,,304,
926,L4,oui juste pour les ressources communes tout ce qui est utilisable par tout le monde,Préc,0,,0305a,
927,L4,pour que ça soit équitable ,Arg+,VA,équité,,
928,L3,euh consensus ?,Q,0,,309,
929,L2,c’était bien l’exemple comme au Québec,0,0,,310,
930,L4,exactement,0,0,,311,
931,L3,ouais,0,0,,312,
932,L4,c’est ce que j’ai mis aussi,0,0,,313,
933,L3,par contre enfin je ne sais pas pour vous mais voter enfin pas le vote mais genre dire si on est d’accord ou si on a une opposition l’écrire mais anonymement en fait comme ça,P54,0,,0314a,
934,L3,ça évite que genre tout le monde se ligue contre une personne ou,Arg+,VA,relations sociales,,
935,L2,ouais pour éviter les conflits,Arg+,VA,relations sociales,,
936,L3,ouais,[+],315,,316,
937,L2,un système de prise de décisions anonyme en fait,Préc,0,,317,
938,L3,ouais faire un débat collectif avec une prise de décision par écrit anonymement ce qui évite les conflits,P55,0,,318,
939,L4,je suis d’accord,[+],0,,319,
940,L2,tu peux mettre débat public et après tout ce qui est prise de décisions heu,[+],0,,320,
941,L4,donc en fait ce qui est écrit c’est ce qui va lancer le débat  donc si quelqu’un a une opposition il l’écrit et,Préc,0,,321,
942,L3,ouais,[+],0,,322,
943,L2,c’est ça,[+],0,,323,
944,L3,ah oui et j’avais mis aussi  que s’il y avait une opposition du coup soit c’était heu enfin soit c’était redébattu plus tard  le temps de trouver d’autres solutions soit c’était heu soit on décide qu’on abandonne l’idée carrément,P56,0,,324,
945,L2,le plus simple n’est de pas tout repousser plus tard ,Arg-,VA,engagement,,
946,L3,ouais j’avoue ouais,[+],0,,326,
947,L2,le plus simple ce serait de clôturer la chose que tout le monde soit d’accord et,P57,0,,327,
948,L3,ouais ok,[+],0,,328,
949,L2,une clôture à une date fixe,Préc,0,,338,
950,L3,((écrit)) à une date fixe heu  le débat pour ne pas,[+],0,,339,
951,L4,passez-moi cette première feuille je vais marquer les exemples,0,0,,340,
952,L2,et après heu concession d’une partie d’une partie ou de l’autre  ou de chacune des parties,P58,0,,341,
953,L3,ouais des deux parties comme ça,Préc,0,,342,
