N;L;PAROLES;Dimension Dialogique;Dimension Epistémique
739;L2;parce que ça serait plus  justifier l’exclusion de la personne ;Préc;0
740;L1;toi t’arrives dans un truc un peu plus au sujet de la psycho quelqu’un qui se fait mettre en défaut une fois sera beaucoup plus à même de se de d’être sur la défensive dans le reste des interactions qu’elle aura avec les gens effectivement  mais c’est arriver sur des scissions avec les gens et des groupes quoi c’est créer des groupes dans le groupe;Préc;0
741;L2;mais sinon oui on peut imaginer l’arrivée dans nouvel habitant et comment ça c’est obligé de modifier la géolocalisation des ressources puisque  soit t’as plus de ressources  soit chacun en a moins en fait avec une personne en plus;Préc;0
742;L1;en gros c’est problèmes sociaux ;P66;0
743;L3;ouais je mets problèmes sociaux  on va en lister quelques-uns;[+];0
;;;-742;
744;L1;slash ségrégation slash tout ce que tu veux tu vois genre connerie aine;Préc;0
745;L2;ça peut être des vols ouais je sais pas;Préc;0
746;L1;et c’est là où justement on en revient à ces à l’intérêt d’aller créer des  une culture parallèle qui est une culture de la communauté c’est justement t’arrives à exclure ton côté individuel et ton côté con pour pouvoir genre te focaliser sur le bienfait de la communauté parce que c’est quelque chose qui qui  qui te parle directement tu vois c’est là l’intérêt de la création d’une culture et dont comme ce tu vous disiez;Arg+;VA
;;;(P4);(engagement)
754;L4;je sais pas vraiment si y’a un accident climatique je sais pas qu’est ce qu’ils font faire la communauté pour s’en sortir par exemple;0;0
755;L3;oui;0;0
756;L1;bah après en cas d’accident climatique t’imagines enfin des zones en gros de réunion qui enfin t’imagines un espace par exemple  qui convient à par exemple si y’a eu une inondation   ;P67;0
757;L3;ouais;[+];0
;;;-756;
758;L1;tremblement de terre donc c’est-à-dire t’as un espace surélevé un peu sur un terrain vague donc ça fait que déjà t’enlèves les problèmes sismiques d’inondation et tout ce que tu veux vu que c’est une zone de repère un peu pour la communauté de se réunir là et justement travailler après sur les solutions ;Préc;0
759;L4;oui oui c’est ça qu’est bien  essayer de mettre en commun quoi;Préc;0
0760a;L1;voilà il faut que t’es bah si on parle de catastrophes climatiques ;[+];0
;;;-759;
762;L1;après tu on peut aussi  je sais plus si c’est relative à une question mais  tu sais t’avais un côté tirage au sort  ou t’as une personne qui pourra avoir le dernier mot tu vois c’était sur le truc de décision là les;P68;0
763;L3;ouais;[+];0
;;;-762;
764;L1;le consensus tu peux aussi imaginer un tirage au sort d’une personne qui aura par exemple le dernier sur la;Préc;0
765;L3;ouais;[+];0
;;;-764;
766;L1;sur la chose tu vois;Préc;0
767;L3;ouais ouais;[+];0
;;;-766;
768;L1;et c’est-à-dire pour le coup où t’es dans un truc où au final ;0;0
769;L3;du coup tu changeras à chaque réunion;Préc;0
770;L1;ouais voilà et tu tournes;0;0
771;L2;ouais mais ça après ça dépend si t’as une ;0;0
772;L1;t’es plus dans le consensus vraiment;0;0
773;L2;si t’as une répartition très inégale entre si t’as genre dix personnes pour et deux contre là automatiquement t’auras beaucoup plus de chance de tomber sur une personne qu’est pour ;Arg-;VA
;;;-68;(équité)
774;L1;ouais ouais c’est sûr;[+];0
;;;-773;
775;L2;le tirage au sort favorise  forcément la solution la plus ;Préc;0
776;L1;;0;0
777;L2;qui est déjà la plus avan- la plus acceptée quoi;Préc;0
778;L1;oui mais ça laisse une chance à la personne;Arg+;VA
;;;(P68);(équité)
779;L3;ou en tout cas t’as le tirage au sort pour   ouais je sais pas  pour dire tu vois les réunions faut peut être quelqu’un qui  stimule un peu qui vérifie que untel prend pas trop la parole;P69;0
780;L1;ouais voilà et oui exactement faut toujours qu’il y ait un plus ou moins un leader;Arg+;VA
;;;(P69);(relations sociales)
781;L3;ouais;[+];0
;;;-781;
0782a;L1;justement ou un chef de groupe faut toujours que y’ait quelque chose comme ça tu vois  ;Arg+;VA
;;;(P69);(relations sociales)
0782b;L1;ouais tu peux imaginer qu’à chaque réunion ça tourne et que;Préc;0
0783a;L3;on peut mettre ce système de tirage au sort pour ((écrit)) si besoin tirage au sort  ;Préc;0
0783b;L3;et ouais les échanges on en a pas trop parlé ce serait intéressant de dire on a un lieu où tout enfin ouais je sais pas si on peut tirer des ficelles là-dessus pour trouver une idée originale;Préc;0
784;L1;bah après c’est vrai qu’un système avec comme on avait vu dans le reportage où tu vas direction chez le particulier chercher ce dont t’as besoin quand t’es sur du matériel ;P70;0
785;L3;ouais;[+];0
;;;-784;
786;L1;c’est un système ça plutôt qui marche plutôt bien  après effectivement si t’es vraiment dans un dans une communauté t’as plus besoin de faire ça tu centralises donc t’es dans la centralisation à justement des matériels collaboratifs enfin communs;P71;0
789;L3;ouais comme les vélos les trucs comme ça;Préc;0
790;L1;les vélos les voitures les outils tout ce que tout en gros tout ce que tu te sers pas au quotidien tu considères que tu le centralises justement dans ces points central des espaces de la communauté ;Préc;0
791;L3;ouais elle est assez bonne notre communauté;[+];0
;;;-790;
801;L1;on peut aussi imaginer qu’on n’est pas du tout dans un rapport d’argent du tout;P72;0
802;L4;comment tu veux faire quand tu veux acheter ?;Q;0
803;L1;bah on on peut considérer  t’as une scission genre ta vie en communauté et ta vie personnelle tu vois c’est-à-dire que t’as tout à fait le droit de t’acheter ce que tu veux et de pas prêter tes objets rien;Préc;0
804;L4;oui;0;0
805;L1;mais par contre dans le cadre de la communauté y’a pas de notion d’argent;Préc;0
806;L4;d’accord mais quand tu;0;0
807;L3;c’est-à-dire que tu prêtes à chaque fois comme ils montraient;Préc;0
808;L1;tu vois ce que je veux dire  exactement;0;0
809;L3;tu prêtes;Préc;0
810;L4;quand tu manges chez toi par exemple c’est tu peux acheter des choses pour toi quoi;Préc;0
811;L1;voilà exactement après c’est vraiment enfin t’as le choix entre  l’un ou l’autre et justement dans ce système d’échange tu dis c’est si t’es dans la communauté t’es pas là pour compter ou quoi que ce soit;Préc;0
812;L4; ouais;[+];0
;;;-811;
813;L1;c’est-à-dire que si t’as quelque chose à mettre en commun bah tu le mets en commun et et après ce sera les applications le système de priorité et tout qui prendra des décisions à ta place quoi  et toi t’es pas acteur de ce que va devenir ton ton produit quoi;Préc;0
819;L3;et puis en plus c’est pas  l’un ou l’autre tu peux dire ;Préc;0
;;bah y’a des choses que je veux bien prêter et d’autres choses;;
820;L1;ouais voilà;[+];0
;;;-819;
821;L3;j’appelle ça comment prêt ((écrit)) oui c’est vrai que si t’as une application avec tous les trucs que tu proposes tu peux soit les mettre;Préc;0
822;L1;voilà mais c’est justement après c’est dans ta culture et comment tu prends cette culture de communauté que tu te dis bon bah vas y je;Préc;0
823;L3; ouais je veux mettre des points ou je veux pas mettre des points;Préc;0
824;L1;voilà exactement  après par exemple dans le consensus est-ce que on peut aussi dire que toutes les personnes de la communauté font partie de ce consensus;P73;0
825;L3;ouais;0;0
826;L1;ou est-ce qu’on a une partie;P74;0
827;L3;xx;0;0
828;L1;ouais voilà ou alors est-ce que tu mets qu’une personne par foyer tu vois;P75;0
829;L2;bah on sait très bien qui va voter dans le foyer;Préc;0
830;L1;oui nan mais ((rires));0;0
831;L2;on va pas déconner hein  ou alors tu tires des foyers au hasard;P76;0
